what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392679183771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392679192231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392679207144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392679212753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392679231760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392679231901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392679234867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392679239715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392679293587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392679300807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392679314709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392679320514
